9/26/17,10:14:32.320Z,61.1686,-139.9539,0.8,1.7,ak16908296,"140km WNW of Haines Junction, Canada",earthquake
9/26/17,10:12:35.360Z,33.4958333,-116.7966667,2.19,0.18,ci38010960,"9km NE of Aguanga, CA",earthquake
9/26/17,10:03:52.880Z,38.401,-118.8963,10.7,1,nn00607058,"27km WSW of Hawthorne, Nevada",earthquake
9/26/17,09:51:38.950Z,37.6355019,-119.045166,-1.99,1.86,nc72899136,"6km WSW of Mammoth Lakes, California",earthquake
9/26/17,09:44:48.455Z,63.47,-147.7705,0,1.4,ak16908294,"59km E of Cantwell, Alaska",earthquake
9/26/17,09:38:05.650Z,33.5038333,-116.7981667,4.59,0.29,ci38010944,"9km NE of Aguanga, CA",earthquake
9/26/17,09:34:50.190Z,34.0345,-117.1035,4.93,1.3,ci38010936,"5km SE of Mentone, CA",earthquake
9/26/17,09:27:34.040Z,33.5006667,-116.7918333,5.74,0.24,ci38010920,"9km NE of Aguanga, CA",earthquake
9/26/17,09:26:06.250Z,37.597332,-118.9319992,0.22,1.31,nc72899131,"6km SSE of Mammoth Lakes, California",earthquake
9/26/17,09:25:39.679Z,59.8714,-151.783,76.8,1.3,ak16908292,"10km NNE of Anchor Point, Alaska",earthquake
9/26/17,09:23:15.981Z,60.1648,-148.3893,18.9,1.8,ak16908290,"55km E of Bear Creek, Alaska",earthquake
9/26/17,09:14:38.740Z,33.5026667,-116.8006667,2.35,0.28,ci38010912,"9km NE of Aguanga, CA",earthquake
9/26/17,09:13:53.550Z,33.5043333,-116.7918333,4.83,0.74,ci38010904,"10km NE of Aguanga, CA",earthquake
9/26/17,08:40:06.305Z,38.3653,-118.8949,6.5,3.4,nn00607053,"29km SW of Hawthorne, Nevada",earthquake
9/26/17,08:38:30.330Z,33.5098333,-116.7911667,6.32,0.82,ci38010880,"10km NE of Aguanga, CA",earthquake
9/26/17,08:35:57.420Z,37.5255013,-119.0199966,3.88,1.55,nc72899106,"14km SSW of Mammoth Lakes, California",earthquake
9/26/17,08:28:15.070Z,37.470665,-118.8108368,4.04,1.52,nc72899101,"24km SE of Mammoth Lakes, California",earthquake
9/26/17,08:22:20.075Z,63.33,-145.4159,0,2.5,ak16907660,"61km S of Deltana, Alaska",earthquake
9/26/17,08:15:45.870Z,-24.5478,178.9119,550.61,4.9,us2000auvl,South of the Fiji Islands,earthquake
9/26/17,08:15:44.681Z,61.3877,-151.5317,67.1,1.6,ak16907657,"78km N of Nikiski, Alaska",earthquake
9/26/17,08:15:13.620Z,34.438,-117.91,10.94,0.55,ci38010864,"8km S of Pearblossum, CA",earthquake
9/26/17,08:06:46.010Z,33.4413333,-116.4395,7.97,1.1,ci38010856,"22km NNW of Borrego Springs, CA",earthquake
9/26/17,08:03:47.640Z,33.5125,-116.7956667,5.09,0.38,ci38010848,"10km NE of Aguanga, CA",earthquake
9/26/17,07:58:38.079Z,61.4973,-146.6749,24.3,1.3,ak16907655,"44km NNW of Valdez, Alaska",earthquake
9/26/17,07:52:40.469Z,61.6335,-147.6133,14.1,1.8,ak16907652,"67km ESE of Sutton-Alpine, Alaska",earthquake
9/26/17,07:27:04.340Z,37.5758324,-118.9136658,-1.18,1.11,nc72899096,"9km SSE of Mammoth Lakes, California",earthquake
9/26/17,07:26:35.160Z,38.8253326,-122.8088303,2.53,1.62,nc72899091,"7km W of Cobb, California",earthquake
